,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
140,Do Go Do Go,spotify:track:1E1dnfR0vwmmnVTsNg2bLi,Wonder World,spotify:album:2gOKSj39Hrg4L2NeBALaIg,Wonder Girls,spotify:artist:3Cv2vi3WTl8VZOTdrBkKdM,2011-11-07,3,226488
141,4 Walls,spotify:track:2YkjXEab4USTV9uuAgC90E,4 Walls - The 4th Album,spotify:album:6yJdchE7ARS996BxRgplFH,f(x),spotify:artist:3wRA5UYoo08BBKJnzyKkpF,2015-10-27,57,207477
142,To you (Slow B. ver),spotify:track:1fTErp4iLHEZBn8beY09js,aRtisT,spotify:album:6NNEIGkJ63mAxSA6fdsjow,TEEN TOP,spotify:artist:3offPqpKAKmpQkIdWnjzkc,2012-05-30,12,188264
145,Sunshine Miracle,spotify:track:1tomvodG2MfCm3WeViNYo1,Girl's Story,spotify:album:10gk2uOJUW83FSBvEp9MYj,KARA,spotify:artist:7aZ221EQfonNG2lO9Hh192,2015-06-17,10,259413
149,MAMMA MIA,spotify:track:65eBRMPIMrQVndALJMc4fX,SF9 4th Mini Album [ MAMMA MIA! ],spotify:album:1sJh6MN85EcJAxnfRt6YvV,SF9,spotify:artist:7LOmc7gyMVMOWF8qwEdn2X,2018-02-26,48,204594
150,Dear Friend - Hip Hop Version,spotify:track:0pKwfxxZ490ZSfYcuZlauW,The Infrared Journey,spotify:album:721LLaHlBYlZI2MQClBicD,Eagle Five,spotify:artist:4vkr97RLtHtBPFUHdBqADe,1998-04-27,0,249770
151,Thank You,spotify:track:1FsAJrdlBS0WmBzztR14ya,돈돈! Don't Don,spotify:album:31q68enr8bT14QjoC04BsZ,SUPER JUNIOR,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV,2007-09-20,26,217640
154,Just U,spotify:track:2AKbuqMkR3RSqAiaNAs01K,THE BOYZ MINI ALBUM [THE START],spotify:album:4HnxhuDasxI3pCyz8o61Lg,THE BOYZ,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx,2018-04-03,39,201646
155,Beware,spotify:track:61Fa1xeFO662k31IZPyieS,Beware,spotify:album:5pds1uFwegoBlvm9MREqTg,IZ*ONE,spotify:artist:5r1tUTxVSgvBHnoDuDODPH,2020-10-07,56,250828
157,PASSAGE,spotify:track:4R7vxwn3j4WCb3JlCaXfIt,Inside of Me,spotify:album:4nLNf4qkGdZwvrvGXLGyUS,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2013-07-24,0,286240
159,Fly to the Sky,spotify:track:2ROyIYgAzX8kzT3ClHE0Jl,JAPAN 3rd ALBUM Eternally,spotify:album:5HUxzuINBDEz1Kw8l9CD9Q,OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI,2019-12-25,19,249946
160,Yes No Yes,spotify:track:2rxiDqf4RWBal5kzBtDVd9,Dress to kill,spotify:album:5ookYSH7nI3R8lFmDEn6Hc,After School,spotify:artist:1loWI8jVk9btgJXHgqHXPD,2014-03-19,1,213186
165,TROUBLE,spotify:track:35WZ5YDPZBytF2m12RZpin,TROUBLE,spotify:album:4aKfZ6P4hBisl94SnW0sIk,EXID,spotify:artist:1xs6WFotNQSXweo0GXrS0O,2019-02-27,27,240714
167,ANTHEM,spotify:track:31rYX1S6eIwgc9HHejwO20,DEBUT FULL ALBUM [WELCOME BACK],spotify:album:1xsNJgTK34ByVUPzQK02Ds,iKON,spotify:artist:5qRSs6mvI17zrkJpOHkCoM,2015-12-24,2,205228
169,Waiting For You,spotify:track:50saKL6GDNpoIBpHiYMi7w,Light UP,spotify:album:00UNGSfgWWNow3i8cebDdu,UP10TION,spotify:artist:2LjaeuGS0ubYXZfNihGp9y,2020-09-24,26,197800
